target_length,target_depth,iter_no,bug_line_number,bug_type,pred_bug_line_number,pred_bug_type,result
500,0.0,0,1,missing_colon,4,missing_parenthesis,False
500,0.0,1,1,missing_comma,1,missing_comma,True
500,0.0,2,3,missing_colon,4,missing_comma,False
500,0.0,3,1,missing_comma,1,missing_comma,True
500,0.0,4,1,keywords_as_identifier,4,missing_parenthesis,False
500,0.0,5,1,missing_parenthesis,1,missing_parenthesis,True
500,0.0,6,4,mismatched_quotation,4,missing_quotation,False
500,0.0,7,1,keywords_as_identifier,6,mismatched_quotation,False
500,0.0,8,2,missing_parenthesis,2,missing_parenthesis,True
500,0.0,9,1,keywords_as_identifier,1,missing_comma,False
500,0.0,10,2,mismatched_bracket,2,mismatched_bracket,True
500,0.0,11,2,missing_quotation,2,missing_quotation,True
500,0.0,12,1,missing_parenthesis,1,missing_parenthesis,True
500,0.0,13,3,mismatched_quotation,3,mismatched_quotation,True
500,0.0,14,1,keywords_as_identifier,26,missing_colon,False
500,0.0,15,2,missing_comma,2,missing_comma,True
500,0.0,16,3,mismatched_quotation,3,missing_quotation,False
500,0.0,17,2,mismatched_quotation,2,mismatched_quotation,True
500,0.0,18,1,missing_comma,1,missing_comma,True
500,0.0,19,1,mismatched_bracket,1,missing_parenthesis,False
500,0.0,20,1,keywords_as_identifier,7,missing_parenthesis,False
500,0.0,21,6,missing_quotation,6,missing_quotation,True
500,0.0,22,4,missing_quotation,6,mismatched_quotation,False
500,0.0,23,1,missing_colon,1,missing_colon,True
500,0.0,24,3,missing_colon,3,missing_parenthesis,False
500,0.25,0,22,mismatched_quotation,22,mismatched_quotation,True
500,0.25,1,12,mismatched_quotation,12,mismatched_quotation,True
500,0.25,2,17,missing_colon,17,missing_colon,True
500,0.25,3,17,mismatched_quotation,17,missing_quotation,False
500,0.25,4,15,missing_comma,14,missing_comma,False
500,0.25,5,13,mismatched_quotation,13,mismatched_quotation,True
500,0.25,6,17,keywords_as_identifier,4,missing_parenthesis,False
500,0.25,7,17,keywords_as_identifier,8,mismatched_bracket,False
500,0.25,8,13,missing_colon,13,missing_colon,True
500,0.25,9,19,missing_colon,19,missing_colon,True
500,0.25,10,9,mismatched_bracket,9,mismatched_bracket,True
500,0.25,11,16,missing_parenthesis,16,missing_parenthesis,True
500,0.25,12,13,missing_colon,13,missing_colon,True
500,0.25,13,13,keywords_as_identifier,13,missing_assignment,False
500,0.25,14,21,mismatched_quotation,58,keywords_as_identifier,False
500,0.25,15,13,mismatched_bracket,13,mismatched_bracket,True
500,0.25,16,14,mismatched_bracket,14,mismatched_bracket,True
500,0.25,17,18,missing_comma,18,missing_comma,True
500,0.25,18,17,mismatched_quotation,6,missing_parenthesis,False
500,0.25,19,10,mismatched_bracket,10,missing_parenthesis,False
500,0.25,20,11,mismatched_quotation,11,mismatched_quotation,True
500,0.25,21,11,mismatched_bracket,11,missing_bracket,False
500,0.25,22,18,keywords_as_identifier,18,keywords_as_identifier,True
500,0.25,23,16,missing_parenthesis,16,missing_parenthesis,True
500,0.25,24,12,missing_colon,12,missing_colon,True
500,0.5,0,37,mismatched_quotation,37,mismatched_quotation,True
500,0.5,1,35,missing_comma,35,missing_comma,True
500,0.5,2,31,mismatched_bracket,31,mismatched_bracket,True
500,0.5,3,37,missing_comma,37,missing_comma,True
500,0.5,4,36,mismatched_quotation,36,mismatched_quotation,True
500,0.5,5,36,mismatched_quotation,36,mismatched_quotation,True
500,0.5,6,33,mismatched_bracket,33,missing_parenthesis,False
500,0.5,7,32,missing_colon,32,missing_colon,True
500,0.5,8,26,keywords_as_identifier,34,keywords_as_identifier,False
500,0.5,9,33,missing_comma,33,missing_comma,True
500,0.5,10,39,missing_colon,39,missing_parenthesis,False
500,0.5,11,25,mismatched_quotation,25,mismatched_quotation,True
500,0.5,12,33,keywords_as_identifier,33,missing_parenthesis,False
500,0.5,13,33,mismatched_quotation,33,mismatched_quotation,True
500,0.5,14,36,missing_colon,36,missing_comma,False
500,0.5,15,38,keywords_as_identifier,41,missing_parenthesis,False
500,0.5,16,27,mismatched_bracket,27,mismatched_bracket,True
500,0.5,17,35,mismatched_quotation,35,mismatched_quotation,True
500,0.5,18,26,mismatched_quotation,26,missing_quotation,False
500,0.5,19,32,mismatched_bracket,32,missing_comma,False
500,0.5,20,35,missing_quotation,35,missing_quotation,True
500,0.5,21,36,missing_parenthesis,36,missing_parenthesis,True
500,0.5,22,34,missing_quotation,34,missing_parenthesis,False
500,0.5,23,32,missing_parenthesis,32,missing_parenthesis,True
500,0.5,24,35,keywords_as_identifier,35,keywords_as_identifier,True
500,0.75,0,52,keywords_as_identifier,52,missing_parenthesis,False
500,0.75,1,43,missing_quotation,43,mismatched_quotation,False
500,0.75,2,42,mismatched_quotation,42,mismatched_quotation,True
500,0.75,3,44,mismatched_quotation,44,mismatched_quotation,True
500,0.75,4,43,missing_parenthesis,43,missing_parenthesis,True
500,0.75,5,57,mismatched_bracket,57,missing_parenthesis,False
500,0.75,6,49,missing_colon,49,missing_colon,True
500,0.75,7,54,missing_quotation,54,mismatched_quotation,False
500,0.75,8,47,missing_colon,46,missing_colon,False
500,0.75,9,47,keywords_as_identifier,48,missing_colon,False
500,0.75,10,42,missing_parenthesis,42,missing_parenthesis,True
500,0.75,11,41,missing_colon,41,missing_colon,True
500,0.75,12,46,missing_parenthesis,46,missing_parenthesis,True
500,0.75,13,49,missing_parenthesis,49,missing_parenthesis,True
500,0.75,14,48,missing_comma,48,missing_comma,True
500,0.75,15,44,mismatched_quotation,44,missing_quotation,False
500,0.75,16,53,mismatched_quotation,53,mismatched_quotation,True
500,0.75,17,49,missing_parenthesis,49,mismatched_quotation,False
500,0.75,18,46,keywords_as_identifier,4,missing_parenthesis,False
500,0.75,19,45,mismatched_bracket,45,mismatched_quotation,False
500,0.75,20,52,mismatched_bracket,52,mismatched_bracket,True
500,0.75,21,50,keywords_as_identifier,28,keywords_as_identifier,False
500,0.75,22,57,missing_comma,57,missing_comma,True
500,0.75,23,45,mismatched_quotation,45,missing_comma,False
500,0.75,24,45,missing_comma,45,missing_comma,True
500,1.0,0,62,keywords_as_identifier,62,keywords_as_identifier,True
500,1.0,1,67,missing_parenthesis,67,missing_parenthesis,True
500,1.0,2,69,missing_comma,69,missing_comma,True
500,1.0,3,76,missing_parenthesis,75,missing_parenthesis,False
500,1.0,4,71,missing_comma,71,missing_comma,True
500,1.0,5,65,missing_quotation,65,mismatched_quotation,False
500,1.0,6,69,keywords_as_identifier,69,keywords_as_identifier,True
500,1.0,7,64,missing_quotation,64,missing_quotation,True
500,1.0,8,69,mismatched_quotation,69,mismatched_quotation,True
500,1.0,9,63,mismatched_bracket,63,missing_colon,False
500,1.0,10,64,missing_quotation,64,mismatched_quotation,False
500,1.0,11,55,keywords_as_identifier,55,keywords_as_identifier,True
500,1.0,12,69,missing_comma,69,missing_comma,True
500,1.0,13,65,missing_colon,30,missing_colon,False
500,1.0,14,65,mismatched_quotation,65,mismatched_quotation,True
500,1.0,15,74,mismatched_quotation,74,mismatched_quotation,True
500,1.0,16,62,keywords_as_identifier,4,missing_parenthesis,False
500,1.0,17,67,missing_parenthesis,67,missing_parenthesis,True
500,1.0,18,69,missing_parenthesis,69,missing_parenthesis,True
500,1.0,19,69,mismatched_bracket,69,missing_parenthesis,False
500,1.0,20,60,mismatched_bracket,60,mismatched_bracket,True
500,1.0,21,62,keywords_as_identifier,66,undefined_function,False
500,1.0,22,64,missing_parenthesis,64,missing_parenthesis,True
500,1.0,23,58,missing_parenthesis,58,missing_parenthesis,True
500,1.0,24,59,mismatched_quotation,59,mismatched_quotation,True
1000,0.0,0,8,missing_quotation,8,mismatched_quotation,False
1000,0.0,1,1,missing_parenthesis,4,missing_parenthesis,False
1000,0.0,2,4,mismatched_quotation,4,missing_parenthesis,False
1000,0.0,3,1,mismatched_bracket,1,missing_bracket,False
1000,0.0,4,1,missing_comma,9,missing_parenthesis,False
1000,0.0,5,3,missing_quotation,3,mismatched_quotation,False
1000,0.0,6,2,missing_comma,2,missing_parenthesis,False
1000,0.0,7,1,keywords_as_identifier,56,missing_parenthesis,False
1000,0.0,8,6,mismatched_quotation,6,mismatched_quotation,True
1000,0.0,9,5,missing_comma,5,missing_comma,True
1000,0.0,10,6,missing_quotation,6,mismatched_bracket,False
1000,0.0,11,2,missing_quotation,2,missing_quotation,True
1000,0.0,12,1,mismatched_bracket,1,missing_bracket,False
1000,0.0,13,3,missing_colon,4,missing_colon,False
1000,0.0,14,1,missing_parenthesis,1,missing_colon,False
1000,0.0,15,1,mismatched_quotation,1,mismatched_quotation,True
1000,0.0,16,3,missing_comma,3,missing_comma,True
1000,0.0,17,4,mismatched_quotation,4,missing_parenthesis,False
1000,0.0,18,1,missing_parenthesis,1,missing_parenthesis,True
1000,0.0,19,1,mismatched_bracket,1,mismatched_bracket,True
1000,0.0,20,2,mismatched_quotation,2,missing_quotation,False
1000,0.0,21,1,missing_parenthesis,1,missing_parenthesis,True
1000,0.0,22,3,mismatched_quotation,3,mismatched_quotation,True
1000,0.0,23,2,keywords_as_identifier,12,missing_s_period,False
1000,0.0,24,1,mismatched_bracket,1,mismatched_bracket,True
1000,0.25,0,31,keywords_as_identifier,4,missing_parenthesis,False
1000,0.25,1,35,missing_parenthesis,35,missing_parenthesis,True
1000,0.25,2,30,missing_comma,30,missing_comma,True
1000,0.25,3,32,missing_parenthesis,32,missing_parenthesis,True
1000,0.25,4,34,missing_quotation,34,missing_parenthesis,False
1000,0.25,5,28,missing_comma,28,missing_comma,True
1000,0.25,6,28,mismatched_bracket,28,mismatched_bracket,True
1000,0.25,7,32,mismatched_bracket,32,missing_parenthesis,False
1000,0.25,8,33,missing_colon,16,mismatched_bracket,False
1000,0.25,9,36,mismatched_bracket,36,mismatched_bracket,True
1000,0.25,10,36,missing_parenthesis,36,missing_parenthesis,True
1000,0.25,11,32,missing_quotation,32,missing_quotation,True
1000,0.25,12,31,mismatched_bracket,31,mismatched_bracket,True
1000,0.25,13,30,mismatched_bracket,30,missing_parenthesis,False
1000,0.25,14,36,keywords_as_identifier,42,missingunderscore,False
1000,0.25,15,32,mismatched_quotation,32,missing_quotation,False
1000,0.25,16,31,mismatched_bracket,31,missing_bracket,False
1000,0.25,17,34,missing_parenthesis,34,missing_parenthesis,True
1000,0.25,18,35,missing_colon,35,missing_colon,True
1000,0.25,19,33,missing_parenthesis,33,missing_parenthesis,True
1000,0.25,20,36,mismatched_quotation,36,mismatched_quotation,True
1000,0.25,21,32,missing_parenthesis,32,missing_parenthesis,True
1000,0.25,22,35,missing_parenthesis,36,missing_parenthesis,False
1000,0.25,23,31,mismatched_bracket,30,mismatched_bracket,False
1000,0.25,24,35,keywords_as_identifier,35,keywords_as_identifier,True
1000,0.5,0,71,missing_quotation,71,missing_parenthesis,False
1000,0.5,1,63,mismatched_bracket,63,missing_bracket,False
1000,0.5,2,62,missing_colon,62,missing_colon,True
1000,0.5,3,69,keywords_as_identifier,71,missing_assignment,False
1000,0.5,4,66,missing_comma,66,missing_comma,True
1000,0.5,5,63,missing_quotation,63,mismatched_quotation,False
1000,0.5,6,73,mismatched_bracket,73,mismatched_bracket,True
1000,0.5,7,66,missing_colon,66,missing_colon,True
1000,0.5,8,63,missing_comma,120,missing_module_qualifier,False
1000,0.5,9,61,missing_comma,121,missing_parenthesis,False
1000,0.5,10,66,missing_parenthesis,66,missing_parenthesis,True
1000,0.5,11,61,mismatched_bracket,6,missing_parenthesis,False
1000,0.5,12,73,missing_colon,73,missing_colon,True
1000,0.5,13,62,missing_colon,62,missing_colon,True
1000,0.5,14,57,missing_comma,56,missing_comma,False
1000,0.5,15,51,missing_colon,4,missing_parenthesis,False
1000,0.5,16,67,missing_quotation,67,mismatched_quotation,False
1000,0.5,17,62,mismatched_bracket,62,mismatched_bracket,True
1000,0.5,18,70,missing_parenthesis,54,missing_parenthesis,False
1000,0.5,19,64,missing_comma,14,missing_comma,False
1000,0.5,20,68,missing_comma,68,missing_comma,True
1000,0.5,21,72,missing_comma,72,missing_comma,True
1000,0.5,22,71,mismatched_quotation,70,mismatched_quotation,False
1000,0.5,23,65,missing_comma,65,missing_comma,True
1000,0.5,24,66,missing_comma,6,mismatched_quotation,False
1000,0.75,0,98,keywords_as_identifier,59,missing_parenthesis,False
1000,0.75,1,104,missing_parenthesis,104,missing_parenthesis,True
1000,0.75,2,95,mismatched_bracket,95,missing_parenthesis,False
1000,0.75,3,99,mismatched_quotation,99,mismatched_quotation,True
1000,0.75,4,101,missing_quotation,52,missing_quotation,False
1000,0.75,5,103,mismatched_quotation,103,missing_end_quotation,False
1000,0.75,6,97,mismatched_bracket,97,missing_square_bracket,False
