target_length,target_depth,iter_no,bug_line_number,bug_type,pred_bug_line_number,pred_bug_type,result
500,0.0,0,1,missing_colon,1,missing_colon,True
500,0.0,1,1,missing_colon,1,missing_colon,True
500,0.0,2,1,missing_colon,1,missing_colon,True
500,0.0,3,2,missing_parenthesis,2,missing_parenthesis,True
500,0.0,4,1,missing_parenthesis,6,mismatched_quotation,False
500,0.0,5,4,mismatched_quotation,4,missing_parenthesis,False
500,0.0,6,1,mismatched_bracket,1,missing_parenthesis,False
500,0.0,7,1,missing_colon,1,missing_colon,True
500,0.0,8,1,keywords_as_identifier,1,keywords_as_identifier,True
500,0.0,9,2,mismatched_quotation,2,missing_colon,False
500,0.0,10,1,missing_colon,1,missing_colon,True
500,0.0,11,1,mismatched_bracket,1,missing_parenthesis,False
500,0.0,12,1,missing_colon,1,missing_colon,True
500,0.0,13,1,mismatched_bracket,1,missing_colon,False
500,0.0,14,1,mismatched_bracket,1,missing_colon,False
500,0.0,15,2,missing_quotation,36,missing_comma,False
500,0.0,16,1,missing_colon,1,missing_colon,True
500,0.0,17,2,missing_comma,2,missing_parenthesis,False
500,0.0,18,2,mismatched_bracket,2,missing_parenthesis,False
500,0.0,19,1,keywords_as_identifier,1,keywords_as_identifier,True
500,0.0,20,7,missing_quotation,7,missing_comma,False
500,0.0,21,3,missing_quotation,3,missing_quotation,True
500,0.0,22,3,missing_quotation,46,missing_colon,False
500,0.0,23,2,mismatched_quotation,2,missing_quotation,False
500,0.0,24,1,keywords_as_identifier,1,keywords_as_identifier,True
500,0.25,0,13,missing_colon,13,missing_colon,True
500,0.25,1,19,missing_colon,19,missing_colon,True
500,0.25,2,13,mismatched_bracket,13,missing_parenthesis,False
500,0.25,3,19,mismatched_quotation,19,missing_quotation,False
500,0.25,4,20,missing_comma,20,missing_comma,True
500,0.25,5,20,mismatched_quotation,20,missing_parenthesis,False
500,0.25,6,19,mismatched_quotation,19,missing_quotation,False
500,0.25,7,19,mismatched_quotation,19,mismatched_quotation,True
500,0.25,8,12,missing_colon,12,missing_colon,True
500,0.25,9,17,missing_comma,17,missing_comma,True
500,0.25,10,14,missing_quotation,14,missing_parenthesis,False
500,0.25,11,17,mismatched_bracket,17,missing_parenthesis,False
500,0.25,12,17,missing_quotation,17,missing_quotation,True
500,0.25,13,21,missing_colon,21,missing_colon,True
500,0.25,14,17,missing_quotation,17,missing_comma,False
