target_length,target_depth,iter_no,bug_line_number,bug_type,pred_bug_line_number,pred_bug_type,result
500,0.0,0,6,missing_quotation,6,missing_quotation,True
500,0.25,0,13,missing_parenthesis,13,missing_parenthesis,True
500,0.5,0,30,mismatched_quotation,30,mismatched_quotation,True
500,0.75,0,48,missing_colon,48,missing_colon,True
500,1.0,0,65,missing_comma,65,missing_comma,True
1000,0.0,0,6,missing_parenthesis,6,missing_parenthesis,True
1000,0.25,0,27,mismatched_quotation,27,missing_quotation,False
1000,0.5,0,58,mismatched_bracket,58,mismatched_bracket,True
1000,0.75,0,92,missing_colon,92,missing_colon,True
1000,1.0,0,131,missing_quotation,131,missing_quotation,True
2000,0.0,0,3,mismatched_bracket,3,mismatched_bracket,True
2000,0.25,0,69,missing_quotation,69,missing_quotation,True
2000,0.5,0,127,keywords_as_identifier,127,keywords_as_identifier,True
2000,0.75,0,191,keywords_as_identifier,11,missing_comma,False
2000,1.0,0,263,mismatched_quotation,263,missing_quotation,False
4000,0.0,0,4,missing_quotation,4,missing_parenthesis,False
4000,0.25,0,123,missing_quotation,123,missing_quotation,True
4000,0.5,0,272,mismatched_quotation,273,missing_quotation,False
4000,0.75,0,406,keywords_as_identifier,533,missing_colon,False
4000,1.0,0,543,keywords_as_identifier,544,keywords_as_identifier,False
8000,0.0,0,2,mismatched_quotation,2,missing_quotation,False
8000,0.25,0,270,mismatched_quotation,270,mismatched_quotation,True
8000,0.5,0,525,mismatched_bracket,525,missing_quotation,False
8000,0.75,0,794,mismatched_bracket,938,missing_colon,False
8000,1.0,0,1054,missing_comma,1054,missing_comma,True
15500,0.0,0,1,missing_comma,1,missing_comma,True
15500,0.25,0,504,missing_quotation,156,missing_parenthesis,False
15500,0.5,0,1014,keywords_as_identifier,1014,keywords_as_identifier,True
15500,0.75,0,1464,keywords_as_identifier,43,missing_comma,False
15500,1.0,0,1906,missing_comma,1906,missing_comma,True
