target_length,target_depth,iter_no,bug_line_number,bug_type,pred_bug_line_number,pred_bug_type,result
500,0.0,0,1,keywords_as_identifier,7,keywords_as_identifier,False
500,0.0,1,8,missing_quotation,8,missing_quotation,True
500,0.0,2,1,mismatched_bracket,1,mismatched_bracket,True
500,0.0,3,1,missing_parenthesis,1,missing_parenthesis,True
500,0.0,4,2,mismatched_quotation,2,mismatched_quotation,True
500,0.0,5,1,mismatched_bracket,1,mismatched_bracket,True
500,0.0,6,3,missing_quotation,3,missing_quotation,True
500,0.0,7,1,missing_comma,1,missing_comma,True
500,0.0,8,1,missing_colon,1,missing_colon,True
500,0.0,9,1,keywords_as_identifier,1,keywords_as_identifier,True
500,0.0,10,1,keywords_as_identifier,1,keywords_as_identifier,True
500,0.0,11,1,mismatched_quotation,1,mismatched_quotation,True
500,0.0,12,5,missing_colon,5,missing_colon,True
500,0.0,13,1,missing_comma,1,missing_comma,True
500,0.0,14,3,missing_comma,3,missing_comma,True
500,0.0,15,3,keywords_as_identifier,3,keywords_as_identifier,True
500,0.0,16,3,missing_quotation,3,missing_quotation,True
500,0.0,17,1,keywords_as_identifier,54,missing_operator,False
500,0.0,18,1,keywords_as_identifier,57,mismatched_quotation,False
500,0.0,19,1,missing_parenthesis,1,missing_parenthesis,True
500,0.0,20,2,mismatched_quotation,2,missing_quotation,False
500,0.0,21,1,missing_colon,1,missing_colon,True
500,0.0,22,1,keywords_as_identifier,24,missing_space,False
500,0.0,23,1,missing_comma,1,missing_comma,True
500,0.0,24,3,keywords_as_identifier,3,keywords_as_identifier,True
500,0.25,0,19,missing_quotation,19,missing_quotation,True
500,0.25,1,15,missing_colon,15,missing_colon,True
500,0.25,2,18,mismatched_quotation,18,mismatched_quotation,True
500,0.25,3,17,mismatched_quotation,17,mismatched_quotation,True
500,0.25,4,15,keywords_as_identifier,19,keywords_as_identifier,False
500,0.25,5,21,missing_parenthesis,21,missing_parenthesis,True
500,0.25,6,16,mismatched_bracket,16,mismatched_bracket,True
500,0.25,7,11,mismatched_bracket,11,mismatched_bracket,True
500,0.25,8,12,missing_colon,12,missing_colon,True
500,0.25,9,18,keywords_as_identifier,18,keywords_as_identifier,True
500,0.25,10,22,missing_quotation,22,missing_quotation,True
500,0.25,11,16,missing_quotation,16,missing_quotation,True
500,0.25,12,16,missing_quotation,16,missing_quotation,True
500,0.25,13,14,keywords_as_identifier,11,missing_comma,False
500,0.25,14,18,missing_parenthesis,18,missing_parenthesis,True
500,0.25,15,15,missing_colon,15,missing_colon,True
500,0.25,16,20,mismatched_quotation,20,mismatched_quotation,True
500,0.25,17,15,missing_comma,15,missing_comma,True
500,0.25,18,21,mismatched_quotation,21,mismatched_quotation,True
500,0.25,19,17,missing_quotation,17,missing_quotation,True
500,0.25,20,11,keywords_as_identifier,11,keywords_as_identifier,True
500,0.25,21,17,mismatched_quotation,17,mismatched_quotation,True
500,0.25,22,13,keywords_as_identifier,13,keywords_as_identifier,True
500,0.25,23,16,missing_quotation,16,missing_quotation,True
500,0.25,24,20,missing_parenthesis,20,missing_parenthesis,True
500,0.5,0,34,missing_comma,34,missing_comma,True
500,0.5,1,34,missing_colon,34,missing_colon,True
500,0.5,2,34,missing_colon,34,missing_colon,True
500,0.5,3,41,mismatched_quotation,41,mismatched_quotation,True
500,0.5,4,29,missing_comma,29,missing_comma,True
500,0.5,5,37,missing_comma,37,missing_comma,True
500,0.5,6,32,missing_parenthesis,32,missing_parenthesis,True
500,0.5,7,33,mismatched_bracket,33,mismatched_bracket,True
500,0.5,8,26,missing_comma,26,missing_comma,True
500,0.5,9,32,keywords_as_identifier,32,keywords_as_identifier,True
500,0.5,10,23,missing_parenthesis,23,missing_colon,False
500,0.5,11,29,mismatched_bracket,29,mismatched_bracket,True
500,0.5,12,32,keywords_as_identifier,32,keywords_as_identifier,True
500,0.5,13,31,missing_quotation,21,keywords_as_identifier,False
500,0.5,14,30,missing_parenthesis,30,missing_parenthesis,True
500,0.5,15,31,keywords_as_identifier,31,missing_colon,False
500,0.5,16,32,mismatched_bracket,32,mismatched_bracket,True
500,0.5,17,30,keywords_as_identifier,30,keywords_as_identifier,True
500,0.5,18,29,mismatched_quotation,29,mismatched_quotation,True
500,0.5,19,28,mismatched_bracket,28,mismatched_bracket,True
500,0.5,20,38,missing_colon,38,missing_colon,True
500,0.5,21,34,missing_parenthesis,34,missing_parenthesis,True
500,0.5,22,35,keywords_as_identifier,42,keywords_as_identifier,False
500,0.5,23,27,keywords_as_identifier,27,keywords_as_identifier,True
500,0.5,24,33,mismatched_quotation,33,mismatched_quotation,True
500,0.75,0,49,missing_quotation,49,mismatched_quotation,False
500,0.75,1,47,mismatched_bracket,47,mismatched_bracket,True
500,0.75,2,50,missing_comma,50,missing_comma,True
500,0.75,3,51,keywords_as_identifier,51,keywords_as_identifier,True
500,0.75,4,48,keywords_as_identifier,48,keywords_as_identifier,True
500,0.75,5,59,missing_quotation,59,mismatched_quotation,False
500,0.75,6,42,missing_colon,42,missing_colon,True
500,0.75,7,41,mismatched_quotation,41,mismatched_quotation,True
500,0.75,8,54,missing_quotation,54,missing_quotation,True
500,0.75,9,47,missing_quotation,47,missing_quotation,True
500,0.75,10,44,missing_quotation,44,mismatched_quotation,False
500,0.75,11,47,keywords_as_identifier,47,keywords_as_identifier,True
500,0.75,12,43,mismatched_bracket,43,mismatched_bracket,True
500,0.75,13,48,missing_colon,48,missing_colon,True
500,0.75,14,51,missing_parenthesis,51,missing_parenthesis,True
500,0.75,15,53,missing_quotation,53,mismatched_quotation,False
500,0.75,16,53,keywords_as_identifier,53,keywords_as_identifier,True
500,0.75,17,43,missing_comma,43,missing_comma,True
