target_length,target_depth,iter_no,bug_line_number,bug_type,pred_bug_line_number,pred_bug_type,result
500,0.0,0,1,missing_quotation,4,missing_quotation,False
500,0.0,1,2,missing_quotation,2,mismatched_quotation,False
500,0.0,2,1,missing_colon,1,missing_colon,True
500,0.0,3,3,missing_parenthesis,3,missing_parenthesis,True
500,0.0,4,3,keywords_as_identifier,3,keywords_as_identifier,True
500,0.0,5,1,keywords_as_identifier,1,keywords_as_identifier,True
500,0.0,6,1,missing_parenthesis,1,missing_parenthesis,True
500,0.0,7,1,missing_parenthesis,1,missing_parenthesis,True
500,0.0,8,1,missing_colon,1,missing_colon,True
500,0.0,9,4,missing_quotation,4,mismatched_quotation,False
500,0.0,10,3,keywords_as_identifier,3,keywords_as_identifier,True
500,0.0,11,2,missing_quotation,2,missing_quotation,True
500,0.0,12,1,missing_parenthesis,1,missing_parenthesis,True
500,0.0,13,1,keywords_as_identifier,1,keywords_as_identifier,True
500,0.0,14,1,mismatched_bracket,1,mismatched_bracket,True
500,0.0,15,1,missing_colon,1,missing_colon,True
500,0.0,16,1,missing_parenthesis,1,missing_parenthesis,True
500,0.0,17,1,missing_parenthesis,1,missing_parenthesis,True
500,0.0,18,1,missing_parenthesis,1,missing_parenthesis,True
500,0.0,19,1,keywords_as_identifier,1,keywords_as_identifier,True
500,0.0,20,2,missing_quotation,2,missing_quotation,True
500,0.0,21,1,missing_comma,1,missing_comma,True
500,0.0,22,4,missing_quotation,4,mismatched_quotation,False
500,0.0,23,3,missing_parenthesis,3,missing_parenthesis,True
500,0.0,24,3,missing_comma,3,missing_comma,True
500,0.25,0,13,missing_parenthesis,13,missing_parenthesis,True
500,0.25,1,13,mismatched_bracket,13,mismatched_bracket,True
500,0.25,2,18,keywords_as_identifier,18,keywords_as_identifier,True
500,0.25,3,11,mismatched_bracket,11,mismatched_bracket,True
500,0.25,4,15,mismatched_quotation,15,mismatched_quotation,True
500,0.25,5,21,missing_quotation,21,missing_quotation,True
500,0.25,6,24,mismatched_quotation,24,mismatched_quotation,True
500,0.25,7,20,mismatched_bracket,20,mismatched_bracket,True
500,0.25,8,20,missing_quotation,20,missing_quotation,True
500,0.25,9,15,missing_parenthesis,15,missing_parenthesis,True
500,0.25,10,11,keywords_as_identifier,11,keywords_as_identifier,True
500,0.25,11,15,missing_colon,15,missing_colon,True
500,0.25,12,15,missing_colon,15,missing_colon,True
500,0.25,13,14,missing_comma,14,missing_comma,True
500,0.25,14,18,missing_colon,18,missing_colon,True
500,0.25,15,20,mismatched_bracket,20,mismatched_bracket,True
500,0.25,16,12,missing_quotation,12,mismatched_quotation,False
500,0.25,17,14,keywords_as_identifier,22,missing_parenthesis,False
500,0.25,18,16,keywords_as_identifier,16,keywords_as_identifier,True
500,0.25,19,15,missing_quotation,15,missing_comma,False
500,0.25,20,15,missing_comma,15,missing_comma,True
500,0.25,21,13,missing_parenthesis,13,missing_parenthesis,True
500,0.25,22,16,mismatched_quotation,16,mismatched_quotation,True
500,0.25,23,14,mismatched_quotation,14,mismatched_quotation,True
500,0.25,24,12,mismatched_bracket,12,mismatched_bracket,True
500,0.5,0,28,keywords_as_identifier,28,keywords_as_identifier,True
500,0.5,1,29,missing_colon,29,missing_colon,True
500,0.5,2,28,mismatched_quotation,27,mismatched_quotation,False
500,0.5,3,41,missing_quotation,41,mismatched_quotation,False
