target_length,target_depth,iter_no,bug_line_number,bug_type,pred_bug_line_number,pred_bug_type,result
500,0.0,0,3,mismatched_quotation,3,mismatched_quotation,True
500,0.0,1,2,mismatched_quotation,4,missing_parenthesis,False
500,0.0,2,1,keywords_as_identifier,6,mismatched_quotation,False
500,0.0,3,7,missing_quotation,7,missing_quotation,True
500,0.0,4,1,missing_quotation,2,missing_parenthesis,False
500,0.0,5,4,missing_parenthesis,4,missing_parenthesis,True
500,0.0,6,5,mismatched_bracket,5,mismatched_bracket,True
500,0.0,7,1,missing_colon,4,missing_parenthesis,False
500,0.0,8,1,missing_parenthesis,1,missing_parenthesis,True
500,0.0,9,1,missing_colon,4,missing_parenthesis,False
500,0.0,10,5,missing_comma,5,missing_comma,True
500,0.0,11,2,mismatched_quotation,2,mismatched_quotation,True
500,0.0,12,1,missing_comma,1,missing_comma,True
500,0.0,13,1,mismatched_bracket,1,missing_parenthesis,False
500,0.0,14,1,missing_parenthesis,1,missing_parenthesis,True
500,0.0,15,1,missing_parenthesis,1,missing_parenthesis,True
500,0.0,16,1,keywords_as_identifier,24,missing_parenthesis,False
500,0.0,17,1,missing_comma,1,missing_comma,True
500,0.0,18,4,missing_quotation,4,missing_quotation,True
500,0.0,19,3,mismatched_quotation,3,mismatched_quotation,True
500,0.0,20,3,missing_quotation,3,missing_quotation,True
500,0.0,21,1,missing_quotation,1,missing_parenthesis,False
500,0.0,22,1,mismatched_bracket,1,missing_parenthesis,False
500,0.0,23,2,missing_comma,2,missing_comma,True
500,0.0,24,1,missing_colon,4,missing_parenthesis,False
500,0.25,0,13,mismatched_bracket,13,missing_bracket,False
500,0.25,1,16,missing_comma,16,missing_comma,True
500,0.25,2,17,keywords_as_identifier,17,keywords_as_identifier,True
500,0.25,3,7,missing_parenthesis,7,missing_parenthesis,True
500,0.25,4,19,missing_quotation,19,missing_quotation,True
500,0.25,5,12,missing_comma,12,missing_comma,True
500,0.25,6,15,keywords_as_identifier,21,missing_parenthesis,False
500,0.25,7,13,missing_colon,13,missing_colon,True
500,0.25,8,17,mismatched_bracket,17,missing_parenthesis,False
500,0.25,9,13,missing_colon,13,missing_colon,True
500,0.25,10,17,missing_parenthesis,22,missing_parenthesis,False
500,0.25,11,13,mismatched_quotation,13,missing_quotation,False
500,0.25,12,16,missing_comma,16,missing_comma,True
500,0.25,13,23,missing_quotation,23,missing_comma,False
500,0.25,14,17,mismatched_bracket,17,mismatched_bracket,True
500,0.25,15,19,missing_parenthesis,19,missing_parenthesis,True
500,0.25,16,14,missing_comma,14,missing_comma,True
500,0.25,17,16,missing_comma,16,missing_comma,True
500,0.25,18,12,missing_parenthesis,12,missing_parenthesis,True
500,0.25,19,17,missing_quotation,16,missing_parenthesis,False
500,0.25,20,17,missing_comma,17,missing_comma,True
500,0.25,21,12,missing_colon,12,missing_parenthesis,False
500,0.25,22,19,keywords_as_identifier,6,missing_parenthesis,False
500,0.25,23,15,keywords_as_identifier,15,missing_colon,False
500,0.25,24,12,missing_colon,12,missing_colon,True
500,0.5,0,35,missing_parenthesis,35,missing_parenthesis,True
500,0.5,1,32,missing_quotation,32,mismatched_parenthesis,False
500,0.5,2,31,missing_parenthesis,31,missing_parenthesis,True
500,0.5,3,25,missing_colon,25,missing_colon,True
500,0.5,4,34,missing_quotation,34,missing_quotation,True
500,0.5,5,39,missing_colon,39,missing_parenthesis,False
500,0.5,6,31,missing_parenthesis,31,missing_parenthesis,True
500,0.5,7,36,keywords_as_identifier,36,keywords_as_identifier,True
500,0.5,8,31,keywords_as_identifier,6,missing_parenthesis,False
500,0.5,9,35,missing_quotation,35,missing_quotation,True
500,0.5,10,31,mismatched_bracket,31,missing_bracket,False
500,0.5,11,32,missing_quotation,32,missing_comma,False
500,0.5,12,27,missing_colon,27,missing_colon,True
500,0.5,13,39,keywords_as_identifier,39,keywords_as_identifier,True
500,0.5,14,32,missing_comma,32,missing_comma,True
500,0.5,15,34,missing_comma,34,missing_comma,True
500,0.5,16,27,mismatched_bracket,27,mismatched_bracket,True
500,0.5,17,29,mismatched_bracket,29,mismatched_bracket,True
500,0.5,18,28,missing_colon,28,missing_colon,True
500,0.5,19,39,mismatched_bracket,38,mismatched_bracket,False
500,0.5,20,40,missing_quotation,40,mismatched_quotation,False
500,0.5,21,29,mismatched_quotation,29,mismatched_quotation,True
500,0.5,22,35,mismatched_quotation,35,missing_quotation,False
500,0.5,23,31,missing_colon,31,missing_colon,True
500,0.5,24,27,missing_parenthesis,27,missing_parenthesis,True
500,0.75,0,40,keywords_as_identifier,29,missing_parenthesis,False
500,0.75,1,53,missing_quotation,53,mismatched_quotation,False
500,0.75,2,52,mismatched_quotation,52,mismatched_quotation,True
500,0.75,3,49,keywords_as_identifier,55,missing_parenthesis,False
500,0.75,4,56,missing_quotation,56,missing_quotation,True
500,0.75,5,43,missing_parenthesis,43,missing_parenthesis,True
500,0.75,6,51,mismatched_bracket,51,mismatched_bracket,True
500,0.75,7,53,missing_quotation,7,missing_parenthesis,False
500,0.75,8,51,missing_parenthesis,51,missing_parenthesis,True
500,0.75,9,48,missing_comma,48,missing_comma,True
500,0.75,10,55,mismatched_quotation,55,mismatched_quotation,True
500,0.75,11,47,missing_parenthesis,47,missing_parenthesis,True
500,0.75,12,42,missing_colon,42,missing_comma,False
500,0.75,13,48,mismatched_bracket,48,missing_parenthesis,False
500,0.75,14,53,mismatched_quotation,53,mismatched_quotation,True
500,0.75,15,49,missing_comma,49,missing_comma,True
500,0.75,16,42,missing_colon,42,missing_colon,True
500,0.75,17,42,keywords_as_identifier,24,missing_colon,False
500,0.75,18,48,mismatched_quotation,48,mismatched_quotation,True
500,0.75,19,50,keywords_as_identifier,4,missing_parenthesis,False
500,0.75,20,49,missing_quotation,23,missing_quote,False
500,0.75,21,50,mismatched_quotation,50,mismatched_quotation,True
500,0.75,22,51,missing_colon,51,missing_colon,True
500,0.75,23,51,mismatched_quotation,51,mismatched_quotation,True
500,0.75,24,50,missing_colon,50,missing_parenthesis,False
500,1.0,0,65,missing_comma,65,missing_comma,True
500,1.0,1,64,mismatched_bracket,17,missing_colon,False
500,1.0,2,71,missing_comma,71,missing_comma,True
500,1.0,3,64,missing_quotation,64,mismatched_quotation,False
500,1.0,4,61,missing_parenthesis,61,missing_parenthesis,True
500,1.0,5,68,missing_colon,68,missing_colon,True
500,1.0,6,61,missing_comma,61,missing_comma,True
500,1.0,7,61,keywords_as_identifier,61,keywords_as_identifier,True
500,1.0,8,67,mismatched_quotation,67,missing_quotation,False
500,1.0,9,68,keywords_as_identifier,72,keywords_as_identifier,False
500,1.0,10,65,mismatched_quotation,65,mismatched_quotation,True
500,1.0,11,65,mismatched_quotation,65,mismatched_quotation,True
500,1.0,12,65,keywords_as_identifier,4,missing_parenthesis,False
500,1.0,13,61,missing_parenthesis,61,missing_parenthesis,True
500,1.0,14,57,missing_parenthesis,57,missing_parenthesis,True
500,1.0,15,67,keywords_as_identifier,36,missing_parenthesis,False
500,1.0,16,60,keywords_as_identifier,60,keywords_as_identifier,True
500,1.0,17,67,missing_quotation,67,missing_quotation,True
500,1.0,18,66,missing_quotation,66,missing_parenthesis,False
500,1.0,19,60,mismatched_quotation,60,missing_quotation,False
500,1.0,20,68,mismatched_bracket,68,mismatched_bracket,True
500,1.0,21,66,missing_parenthesis,66,missing_parenthesis,True
500,1.0,22,59,missing_parenthesis,59,missing_parenthesis,True
500,1.0,23,59,mismatched_bracket,59,mismatched_bracket,True
500,1.0,24,65,mismatched_quotation,65,mismatched_quotation,True
1000,0.0,0,2,missing_comma,2,missing_comma,True
1000,0.0,1,1,keywords_as_identifier,4,missing_parenthesis,False
1000,0.0,2,4,missing_quotation,4,missing_parenthesis,False
1000,0.0,3,3,mismatched_bracket,3,missing_parenthesis,False
1000,0.0,4,4,mismatched_bracket,4,mismatched_bracket,True
1000,0.0,5,1,missing_parenthesis,1,missing_colon,False
1000,0.0,6,3,missing_colon,3,missing_parenthesis,False
1000,0.0,7,2,missing_colon,2,missing_colon,True
1000,0.0,8,1,missing_parenthesis,1,missing_parenthesis,True
1000,0.0,9,1,mismatched_bracket,1,missing_bracket,False
1000,0.0,10,1,mismatched_bracket,1,missing_bracket,False
1000,0.0,11,6,mismatched_quotation,6,mismatched_quotation,True
1000,0.0,12,3,keywords_as_identifier,4,missing_parenthesis,False
1000,0.0,13,1,missing_colon,1,missing_colon,True
1000,0.0,14,3,mismatched_quotation,4,missing_parenthesis,False
1000,0.0,15,1,missing_comma,4,missing_comma,False
1000,0.0,16,3,missing_parenthesis,3,missing_parenthesis,True
1000,0.0,17,1,missing_parenthesis,1,missing_parenthesis,True
1000,0.0,18,1,mismatched_bracket,1,missing_parenthesis,False
1000,0.0,19,2,missing_comma,2,missing_comma,True
1000,0.0,20,4,missing_parenthesis,4,missing_parenthesis,True
1000,0.0,21,1,missing_comma,1,missing_comma,True
1000,0.0,22,2,mismatched_quotation,2,mismatched_quotation,True
1000,0.0,23,1,keywords_as_identifier,24,missing_parenthesis,False
1000,0.0,24,1,keywords_as_identifier,4,missing_parenthesis,False
1000,0.25,0,31,missing_quotation,31,missing_quotation,True
1000,0.25,1,34,mismatched_quotation,34,mismatched_quotation,True
1000,0.25,2,34,missing_colon,34,missing_colon,True
1000,0.25,3,27,missing_comma,27,missing_comma,True
1000,0.25,4,29,keywords_as_identifier,46,missing_a_period,False
1000,0.25,5,32,mismatched_quotation,32,mismatched_quotation,True
1000,0.25,6,36,missing_quotation,36,missing_quotation,True
1000,0.25,7,28,missing_quotation,28,missing_quotation,True
1000,0.25,8,33,mismatched_bracket,33,mismatched_bracket,True
1000,0.25,9,31,mismatched_bracket,31,missing_parenthesis,False
1000,0.25,10,37,mismatched_quotation,36,missing_quotation,False
1000,0.25,11,33,keywords_as_identifier,16,missing_colon,False
1000,0.25,12,37,missing_comma,37,missing_comma,True
1000,0.25,13,31,missing_comma,31,missing_comma,True
1000,0.25,14,30,missing_comma,30,missing_comma,True
1000,0.25,15,32,missing_colon,32,missing_colon,True
1000,0.25,16,31,missing_parenthesis,31,missing_parenthesis,True
1000,0.25,17,27,keywords_as_identifier,27,missing_colon,False
1000,0.25,18,38,keywords_as_identifier,38,keywords_as_identifier,True
1000,0.25,19,33,missing_parenthesis,33,missing_parenthesis,True
1000,0.25,20,32,missing_colon,14,missing_parenthesis,False
1000,0.25,21,32,mismatched_quotation,32,missing_quotation,False
1000,0.25,22,42,mismatched_quotation,4,missing_parenthesis,False
1000,0.25,23,33,keywords_as_identifier,33,keywords_as_identifier,True
1000,0.25,24,32,missing_parenthesis,32,missing_parenthesis,True
1000,0.5,0,69,missing_quotation,4,missing_parenthesis,False
1000,0.5,1,62,keywords_as_identifier,62,keywords_as_identifier,True
1000,0.5,2,68,missing_colon,68,missing_colon,True
1000,0.5,3,67,missing_comma,65,missing_comma,False
1000,0.5,4,73,mismatched_quotation,73,mismatched_quotation,True
1000,0.5,5,65,keywords_as_identifier,7,missing_parenthesis,False
1000,0.5,6,66,mismatched_bracket,66,mismatched_bracket,True
1000,0.5,7,66,mismatched_quotation,56,keywords_as_identifier,False
1000,0.5,8,72,missing_quotation,72,missing_quotation,True
1000,0.5,9,62,missing_parenthesis,62,missing_parenthesis,True
1000,0.5,10,58,missing_comma,58,missing_comma,True
1000,0.5,11,59,mismatched_quotation,59,mismatched_quotation,True
1000,0.5,12,69,missing_comma,69,missing_comma,True
1000,0.5,13,62,mismatched_bracket,62,mismatched_bracket,True
1000,0.5,14,67,missing_colon,6,missing_colon,False
1000,0.5,15,69,missing_parenthesis,69,missing_parenthesis,True
1000,0.5,16,60,mismatched_bracket,60,mismatched_bracket,True
1000,0.5,17,71,mismatched_quotation,4,missing_parenthesis,False
1000,0.5,18,66,mismatched_bracket,66,missing_parenthesis,False
1000,0.5,19,70,missing_quotation,70,missing_quotation,True
1000,0.5,20,62,missing_quotation,121,mismatched_bracket,False
1000,0.5,21,65,keywords_as_identifier,65,keywords_as_identifier,True
1000,0.5,22,65,missing_parenthesis,65,missing_parenthesis,True
1000,0.5,23,62,keywords_as_identifier,71,keywords_as_identifier,False
1000,0.5,24,69,missing_quotation,69,missing_quotation,True
1000,0.75,0,99,missing_colon,99,missing colon,False
1000,0.75,1,101,mismatched_quotation,101,missing_quotation,False
1000,0.75,2,104,mismatched_bracket,104,mismatched_bracket,True
1000,0.75,3,104,missing_parenthesis,104,missing_parenthesis,True
1000,0.75,4,101,mismatched_bracket,101,missing_bracket,False
1000,0.75,5,99,missing_comma,99,missing_comma,True
1000,0.75,6,94,keywords_as_identifier,5,missing_parenthesis,False
1000,0.75,7,98,missing_quotation,98,missing_parenthesis,False
1000,0.75,8,96,mismatched_quotation,96,missing_quotation,False
1000,0.75,9,96,missing_quotation,96,missing_parenthesis,False
1000,0.75,10,95,missing_comma,95,missing_comma,True
1000,0.75,11,93,missing_comma,93,missing_comma,True
1000,0.75,12,98,mismatched_quotation,97,missing_quotation,False
1000,0.75,13,96,missing_parenthesis,96,missing_parenthesis,True
1000,0.75,14,106,missing_comma,106,missing_comma,True
1000,0.75,15,91,missing_colon,9,missing_colon,False
1000,0.75,16,101,mismatched_bracket,101,missing_bracket,False
1000,0.75,17,93,missing_parenthesis,93,missing_parenthesis,True
1000,0.75,18,99,missing_quotation,99,missing_quotation,True
1000,0.75,19,94,mismatched_quotation,94,mismatched_quotation,True
1000,0.75,20,103,missing_quotation,103,missing_quotation,True
1000,0.75,21,104,mismatched_bracket,7,missing_colon,False
1000,0.75,22,104,missing_colon,104,missing_colon,True
1000,0.75,23,98,missing_quotation,98,missing_comma,False
1000,0.75,24,96,mismatched_bracket,96,mismatched_bracket,True
1000,1.0,0,126,keywords_as_identifier,28,undefined_function,False
1000,1.0,1,127,mismatched_bracket,27,missing_bracket,False
1000,1.0,2,137,keywords_as_identifier,129,keywords_as_identifier,False
1000,1.0,3,131,mismatched_quotation,129,mismatched_quotation,False
1000,1.0,4,129,mismatched_bracket,129,missing_parenthesis,False
1000,1.0,5,131,mismatched_bracket,131,mismatched_bracket,True
1000,1.0,6,135,mismatched_bracket,135,mismatched_parenthesis,False
1000,1.0,7,122,missing_comma,122,missing_comma,True
1000,1.0,8,130,missing_quotation,130,missing_quotation,True
1000,1.0,9,134,mismatched_quotation,132,mismatched_quotation,False
1000,1.0,10,127,missing_comma,127,missing_comma,True
1000,1.0,11,129,missing_parenthesis,129,missing_parenthesis,True
