target_length,target_depth,iter_no,bug_line_number,bug_type,pred_bug_line_number,pred_bug_type,result
500,0.0,0,1,missing_comma,1,missing_comma,True
500,0.0,1,3,mismatched_bracket,3,mismatched_bracket,True
500,0.0,2,7,missing_quotation,7,missing_quotation,True
500,0.0,3,1,mismatched_bracket,1,mismatched_bracket,True
500,0.0,4,6,missing_quotation,6,missing_quotation,True
500,0.0,5,3,mismatched_bracket,3,mismatched_bracket,True
500,0.0,6,1,mismatched_bracket,1,mismatched_bracket,True
500,0.0,7,4,mismatched_quotation,4,missing_quotation,False
500,0.0,8,1,missing_parenthesis,1,missing_parenthesis,True
500,0.0,9,1,missing_comma,1,missing_comma,True
500,0.0,10,1,missing_comma,1,missing_comma,True
500,0.0,11,5,mismatched_quotation,5,mismatched_quotation,True
500,0.0,12,1,keywords_as_identifier,5,missing_bracket,False
500,0.0,13,1,keywords_as_identifier,1,keywords_as_identifier,True
500,0.0,14,3,mismatched_bracket,3,mismatched_bracket,True
500,0.0,15,2,missing_quotation,2,mismatched_quotation,False
500,0.0,16,1,missing_quotation,1,missing_quotation,True
500,0.0,17,1,keywords_as_identifier,1,keywords_as_identifier,True
500,0.0,18,1,missing_comma,1,missing_parenthesis,False
500,0.0,19,1,missing_comma,1,missing_comma,True
500,0.0,20,5,missing_quotation,5,mismatched_quotation,False
500,0.0,21,6,missing_colon,6,missing_colon,True
500,0.0,22,2,missing_quotation,2,mismatched_quotation,False
500,0.0,23,1,mismatched_bracket,1,mismatched_bracket,True
500,0.0,24,1,missing_colon,1,missing_colon,True
500,0.25,0,11,keywords_as_identifier,11,keywords_as_identifier,True
500,0.25,1,15,missing_comma,15,missing_comma,True
500,0.25,2,11,missing_colon,11,missing_colon,True
500,0.25,3,21,missing_quotation,21,mismatched_quotation,False
500,0.25,4,19,mismatched_quotation,19,mismatched_quotation,True
500,0.25,5,17,missing_colon,17,missing_colon,True
500,0.25,6,20,missing_comma,21,undefined_variable,False
500,0.25,7,15,missing_colon,15,missing_colon,True
500,0.25,8,16,missing_comma,16,missing_comma,True
500,0.25,9,12,mismatched_quotation,12,mismatched_quotation,True
500,0.25,10,15,mismatched_bracket,15,mismatched_bracket,True
500,0.25,11,16,keywords_as_identifier,16,keywords_as_identifier,True
500,0.25,12,14,keywords_as_identifier,14,missing_colon,False
500,0.25,13,11,missing_colon,11,missing_colon,True
500,0.25,14,25,mismatched_bracket,25,mismatched_bracket,True
500,0.25,15,20,mismatched_quotation,20,mismatched_quotation,True
500,0.25,16,16,mismatched_quotation,16,mismatched_quotation,True
500,0.25,17,21,mismatched_bracket,9,missing_colon,False
500,0.25,18,10,mismatched_bracket,10,mismatched_bracket,True
500,0.25,19,19,mismatched_quotation,19,mismatched_quotation,True
500,0.25,20,16,missing_colon,16,missing_colon,True
500,0.25,21,14,missing_comma,14,missing_comma,True
500,0.25,22,33,missing_quotation,33,missing_quotation,True
500,0.25,23,13,missing_parenthesis,13,missing_parenthesis,True
500,0.25,24,17,mismatched_bracket,17,mismatched_bracket,True
500,0.5,0,31,mismatched_bracket,31,mismatched_bracket,True
500,0.5,1,36,missing_comma,36,missing_comma,True
500,0.5,2,26,missing_colon,26,missing_colon,True
500,0.5,3,34,missing_quotation,34,missing_comma,False
500,0.5,4,34,missing_quotation,34,missing_quotation,True
500,0.5,5,34,missing_comma,34,missing_comma,True
500,0.5,6,25,missing_comma,25,missing_comma,True
500,0.5,7,33,missing_quotation,33,missing_quotation,True
500,0.5,8,33,missing_colon,33,missing_colon,True
